detail_id,OCC_TITLE,total_emp,a_mean,a_median,h_mean,h_median,broad_id
319011,Massage Therapists,95830,44480,39860,21.39,19.17,319010
319091,Dental Assistants,327290,37890,36940,18.22,17.76,319090
319092,Medical Assistants,623560,32850,31540,15.79,15.17,319090
319093,Medical Equipment Preparers,52500,35960,34400,17.29,16.54,319090
319094,Medical Transcriptionists,54070,37150,35720,17.86,17.17,319090
319095,Pharmacy Aides,36660,28420,25240,13.66,12.14,319090
319096,Veterinary Assistants and Laboratory Animal Caretakers,79990,26810,25250,12.89,12.14,319090
319097,Phlebotomists,120970,33750,32710,16.22,15.72,319090
319099,"Healthcare Support Workers, All Other",93830,37720,36330,18.13,17.46,319090
331011,First-Line Supervisors of Correctional Officers,43230,65100,60560,31.30,29.12,331010
331012,First-Line Supervisors of Police and Detectives,100200,88400,84840,42.50,40.79,331010
331021,First-Line Supervisors of Fire Fighting and Prevention Workers,57170,77050,74540,37.04,35.84,331020
331099,"First-Line Supervisors of Protective Service Workers, All Other",72880,50690,47820,24.37,22.99,331090
332011,Firefighters,315910,50520,48030,24.29,23.09,332010
332021,Fire Inspectors and Investigators,11910,61660,58440,29.64,28.10,332020
332022,Forest Fire Inspectors and Prevention Specialists,1650,44300,36230,21.30,17.42,332020
333011,Bailiffs,17880,45740,42670,21.99,20.52,333010
333012,Correctional Officers and Jailers,431600,46750,42820,22.48,20.59,333010
333021,Detectives and Criminal Investigators,104980,81490,78120,39.18,37.56,333020
333031,Fish and Game Wardens,6610,54760,51730,26.33,24.87,333030
333041,Parking Enforcement Workers,8920,39650,37950,19.06,18.25,333040
333051,Police and Sheriff's Patrol Officers,657690,62760,59680,30.17,28.69,333050
333052,Transit and Railroad Police,4810,67850,66610,32.62,32.03,333050
339011,Animal Control Workers,12970,36600,34550,17.60,16.61,339010
339021,Private Detectives and Investigators,28490,53530,48190,25.74,23.17,339020
339031,Gaming Surveillance Officers and Gaming Investigators,10460,35280,32630,16.96,15.69,339030
339032,Security Guards,1103120,29730,25770,14.29,12.39,339030
339091,Crossing Guards,72900,29190,26700,14.03,12.84,339090
